city,timestamp,temperature,season
New York,2010-01-01,0.9841217767987788,winter
New York,2010-01-02,-9.26369000971241,winter
New York,2010-01-03,5.148530511671506,winter
New York,2010-01-04,2.219228077115928,winter
New York,2010-01-05,5.062278536574809,winter
New York,2010-01-06,-1.621594683180549,winter
New York,2010-01-07,5.145799974875816,winter
New York,2010-01-08,1.480672567907996,winter
New York,2010-01-09,-2.3294023814232343,winter
New York,2010-01-10,-1.1523934529027386,winter
New York,2010-01-11,-6.469943785252226,winter
New York,2010-01-12,-3.6013636062518017,winter
New York,2010-01-13,0.3702384173223028,winter
New York,2010-01-14,9.656562131924018,winter
New York,2010-01-15,-0.7928157569860717,winter
New York,2010-01-16,1.5725434716515991,winter
New York,2010-01-17,4.477770510966542,winter
New York,2010-01-18,-1.9068024930925271,winter
New York,2010-01-19,-3.0823329297997812,winter
New York,2010-01-20,-5.051057513808662,winter
New York,2010-01-21,7.493244202683856,winter
New York,2010-01-22,0.3694136544135188,winter
New York,2010-01-23,4.348090591719461,winter
New York,2010-01-24,-3.951720289560585,winter
New York,2010-01-25,3.5210988450837473,winter
New York,2010-01-26,-0.7279970107444469,winter
New York,2010-01-27,-4.043884629853005,winter
New York,2010-01-28,9.549115824432253,winter
New York,2010-01-29,-5.677310523502977,winter
New York,2010-01-30,3.6198686921779917,winter
New York,2010-01-31,6.391000301723161,winter
New York,2010-02-01,1.1195204034877901,winter
New York,2010-02-02,1.9671429799797038,winter
New York,2010-02-03,-5.915036426126723,winter
New York,2010-02-04,-6.434752412696514,winter
New York,2010-02-05,4.556496060376488,winter
New York,2010-02-06,-2.8376938185598584,winter
New York,2010-02-07,1.3589834627027604,winter
New York,2010-02-08,8.260227457905344,winter
New York,2010-02-09,4.9430036003590905,winter
New York,2010-02-10,1.1981848966911144,winter
New York,2010-02-11,0.4916842661801014,winter
New York,2010-02-12,-0.29599246852441113,winter
New York,2010-02-13,0.6148237989184376,winter
New York,2010-02-14,-6.226778873807801,winter
New York,2010-02-15,3.0451884197965766,winter
New York,2010-02-16,3.9240765807474984,winter
New York,2010-02-17,-4.051689456497033,winter
New York,2010-02-18,4.2400487142351375,winter
New York,2010-02-19,-3.737453964241796,winter
New York,2010-02-20,2.187580562463885,winter
New York,2010-02-21,-7.538043751092572,winter
New York,2010-02-22,6.042383105885758,winter
New York,2010-02-23,-1.663847116292119,winter
New York,2010-02-24,-9.9035402620944,winter
New York,2010-02-25,5.244491636878945,winter
New York,2010-02-26,3.3340539695113387,winter
New York,2010-02-27,-1.0448173711200468,winter
New York,2010-02-28,-1.6552401943140795,winter
New York,2010-03-01,-4.391252172390946,spring
New York,2010-03-02,9.002920650654493,spring
New York,2010-03-03,6.891130249087957,spring
New York,2010-03-04,2.8830268047194876,spring
New York,2010-03-05,13.8433252851211,spring
New York,2010-03-06,6.791519295538839,spring
New York,2010-03-07,13.01041562085441,spring
New York,2010-03-08,11.393975601641007,spring
New York,2010-03-09,11.395447350184499,spring
New York,2010-03-10,7.187123007044008,spring
New York,2010-03-11,0.6031796319763831,spring
New York,2010-03-12,13.548445694142696,spring
New York,2010-03-13,4.114520234816447,spring
New York,2010-03-14,12.958746854331096,spring
New York,2010-03-15,10.977143073109865,spring
New York,2010-03-16,2.9227009826059565,spring
New York,2010-03-17,0.19286568774959711,spring
New York,2010-03-18,5.712213079475065,spring
New York,2010-03-19,10.568886575814734,spring
New York,2010-03-20,10.547283144235639,spring
New York,2010-03-21,12.55922155018726,spring
New York,2010-03-22,7.209548108932237,spring
New York,2010-03-23,9.363147029106656,spring
New York,2010-03-24,8.324250784336426,spring
New York,2010-03-25,8.120245951532226,spring
New York,2010-03-26,8.891089708795988,spring
New York,2010-03-27,1.7407528492919493,spring
New York,2010-03-28,15.980474486542118,spring
New York,2010-03-29,10.811034571515446,spring
New York,2010-03-30,6.342478680901404,spring
New York,2010-03-31,14.008294209882138,spring
New York,2010-04-01,9.997602159131844,spring
New York,2010-04-02,10.627511111712565,spring
New York,2010-04-03,2.338618572870736,spring
New York,2010-04-04,6.604430756998014,spring
New York,2010-04-05,11.63907607659078,spring
New York,2010-04-06,6.822450891672865,spring
New York,2010-04-07,10.236941165467151,spring
New York,2010-04-08,7.691382429677786,spring
New York,2010-04-09,6.451923814711539,spring
New York,2010-04-10,12.891340184804315,spring
New York,2010-04-11,6.6938982655889285,spring
